name,role
Vipraj Nigam,All-Rounder
Jamie Overton,All-Rounder
Sherfane Rutherford,All-Rounder
Pathum Nissanka,BATTER
Tim Robinson,BATTER
Rahul Tripathi,BATTER
Mayank Agarawal,BATTER
Matthew Breetzke,Batter
Eshan Malinga,Bowler (Right-arm Fast)
Dushmantha Chameera,Bowler (Right-arm Fast)
Mustafizur Rahman,BOWLER
Kuldeep Sen,Bowler (Right-arm Fast)
Navdeep Saini,Bowler (Right-arm Fast)
Akash Deep,BOWLER
Spencer Johnson,BOWLER
Shivam Mavi,BOWLER
Deepak Hooda,ALL-ROUNDER
Shardul Thakur,ALL-ROUNDER
Jason Holder,ALL-ROUNDER
Daryl Mitchell,ALL-ROUNDER
Daniel Sams,ALL-ROUNDER
Sean Abbott,ALL-ROUNDER
Matthew Short,ALL-ROUNDER
Michael Bracewell,ALL-ROUNDER
Abhinav Manohar,BATTER
Atharva Taide,BATTER
Anmolpreet Singh,BATTER
Jason Behrendorff,BOWLER
Lockie Ferguson,BOWLER
Umesh Yadav,BOWLER
Alzarri Joseph,BOWLER
Shamar Joseph,BOWLER
Richard Gleeson,BOWLER
Nathan Ellis,BOWLER
Jofra Archer,BOWLER
Jhye Richardson,BOWLER
Dasun Shanaka,ALL-ROUNDER
Dwaine Pretorius,ALL-ROUNDER
Fazalhaq Farooqi,ALL-ROUNDER
Zakary Foulkes,ALL-ROUNDER
